country,air_quality_PM10,attacked
Armenia,0.5028349763554338,1
Bahrain,-11.661538173359386,1
Belarus,0.4731277415134459,0
Botswana,0.4024953238581421,0
Bulgaria,1.8198047961324024,0
Burundi,12.626915095688524,1
Madagascar,2.195343149665958,0
Cape Verde,-7.388460891800037,1
Bosnia and Herzegovina,0.5300868407116132,0
Equatorial Guinea,-16.39639420231903,1
Chad,1.6808175948323236,0
Iceland,2.3542663449712764,0
Hungary,-1.7771649524573716,0
Vatican City,-12.613103597781691,1
Guinea-Bissau,2.2964046695302045,0
Guinea,3.3466776374909437,0
Indonesia,0.39628412272662317,1
Germany,-16.340088111715943,1
France,6.122158494986699,1
Finland,-2.676701765040449,0
Eritrea,3.0821329473049293,0
Ghana,-0.5604669694106938,0
Myanmar,0.573674263277658,0
Mozambique,-1.1585472271333264,0
Mauritius,-0.6593599687245979,0
Mauritania,0.2286489222864312,0
Malta,0.3104385181066706,0
Thailand,1.6482564228741097,0
Malawi,8.471186201809136,1
Kuwait,-7.425151901720644,1
Kenya,-0.2587119573012505,0
Jordan,-1.0648413676982993,0
Mali,-0.8383658503297248,0
Turkey,-0.4305204822186581,0
Iraq,-0.02558471551921926,1
Oman,3.496692498908059,0
Poland,8.791904479949515,1
Russia,-0.2980427970249694,0
Senegal,1.4311849539412969,0
Slovenia,1.541862064268059,0
South Africa,-4.905969066030202,0
Sudan,-0.5501093935394098,0
Tanzania,0.0078096868778152,0
Vietnam,4.713443287066904,0
Ukraine,5.311439390997223,0
United Arab Emirates,3.8747374441563114,0
Uzbekistan,1.4653760496682924,0
Nigeria,-1.4748735144233602,0
Zambia,-0.1462125865954534,0
Iran,0.8046661835707241,1
Iceland,2.464797759393534,0
Afghanistan,3.590383106929276,0
Albania,1.1620459341244354,0
Andorra,1.7135726928311188,0
Angola,2.8090000854578228,0
Armenia,8.4850687284457,1
Bahrain,-4.692281139172971,1
Belarus,1.7834310274841887,0
Bosnia and Herzegovina,-2.544033213395354,0
Botswana,-0.0390926902498174,0
Bulgaria,-0.658918047331401,0
Burundi,-7.576377042200411,1
Madagascar,-1.035611145018804,0
Indonesia,-3.5769203897451103,1
Chad,-1.4398720790879962,0
Equatorial Guinea,6.717002931343835,1
Eritrea,2.178732482337182,0
Finland,-0.1719163842964982,0
France,3.753443135101076,1
Germany,3.719910225954436,1
Ghana,2.8743810707169666,0
Guinea,7.1200580763207535,0
Guinea-Bissau,-1.0228749813519435,0
Vatican City,10.458975347560703,1
Hungary,-0.5881787043295974,0
Cape Verde,-7.9341567309607,1
Myanmar,-1.0892295348516492,0
Mozambique,1.0395494613950664,0
Mauritius,0.4482446405282427,0
Mauritania,-1.3401016973794022,0
Kenya,-3.123321140438056,0
Malawi,-9.19114137181899,1
Thailand,-1.2719941338432128,0
Kuwait,-11.664798372745997,1
Turkey,0.5821307642714966,0
Mali,5.223501366791673,0
Nigeria,0.5299544750865338,0
South Africa,2.707327043307877,0
Poland,-11.14851131186907,1
Russia,0.4336812019200682,0
Senegal,-0.903351676602076,0
Slovenia,-1.8334749375462915,0
Jordan,-1.165564523046548,0
Sudan,0.638993492066608,0
Tanzania,-5.410689054123306,0
Vietnam,0.4576310324128684,0
Ukraine,1.2942650257937198,0
United Arab Emirates,7.196925248961156,0
Uzbekistan,-3.513741234018687,0
Zambia,-1.9808791464311784,0
Oman,2.0525212884382653,0
Iran,8.473744591612956,1
Malta,3.4148198197078767,0
Iraq,-10.19541517017543,1
Indonesia,-14.155748124380054,1
Afghanistan,-2.0171286806012416,0
Albania,0.6236178428515378,0
Andorra,-1.754644846845566,0
Angola,-1.9846057074682768,0
Armenia,-10.302361822901709,1
Bahrain,-16.549133028729536,1
Bosnia and Herzegovina,0.2795151247129114,0
Botswana,2.4981122883338505,0
Bulgaria,-2.8535423534823465,0
Burundi,11.012557248113303,1
Madagascar,1.2114766527510037,0
Belarus,1.40573212892929,0
Chad,-2.0850044293482903,0
Cape Verde,14.93453652924724,1
Hungary,9.44899662449936,0
Vatican City,-15.178503050575443,1
Guinea-Bissau,-2.8599537164846813,0
Guinea,-3.301217086620537,0
Ghana,-5.667162508394315,0
Iceland,0.4655368520983238,0
France,-9.54673665101054,1
Finland,1.3043990140430828,0
Eritrea,-0.5228293977757973,0
Equatorial Guinea,14.016613034716485,1
Germany,6.579368316857877,1
Myanmar,0.275245035938407,0
Mozambique,0.3454414948617971,0
Mauritius,0.7345699796310414,0
Mauritania,2.651587973630295,0
Malta,-0.7415807377282462,0
Thailand,1.5250859563761678,0
Malawi,-16.762697540424544,1
Kuwait,2.4819386630191147,1
Kenya,-0.5979989738412352,0
Jordan,-3.024332001066363,0
Mali,1.7867648168249386,0
Turkey,4.66714052181594,0
Iraq,-0.020274557099089208,1
Oman,0.0052490957444127,0
Poland,13.359004217361278,1
Russia,0.48212253704374,0
Senegal,2.9638479430491302,0
Slovenia,-1.210048199729174,0
South Africa,0.8526723006332734,0
Sudan,0.6375363926747866,0
Tanzania,-1.190266218577784,0
Vietnam,-7.315121059317005,0
Ukraine,-2.0879993715113407,0
United Arab Emirates,-1.5913938564272012,0
Uzbekistan,-12.327516730731128,0
Nigeria,0.2020750956072396,0
Zambia,1.9987287151800532,0
Iran,7.189400976583105,1
Iceland,-2.1786602776009816,0
Afghanistan,-0.8090382513123292,0
Albania,2.4097446625897256,0
Andorra,-1.845129290678047,0
Angola,-2.138044972655881,0
Armenia,12.33580393219663,1
Bahrain,12.612947563244294,1
Belarus,3.7355210651848343,0
Bosnia and Herzegovina,-1.495749269339156,0
Botswana,-0.2342348693635179,0
Bulgaria,0.8803732746829941,0
Burundi,-6.303722551440128,1
Madagascar,5.693343751786398,0
Indonesia,11.663331039243175,1
Chad,-2.694647724205122,0
Equatorial Guinea,-9.75758233802771,1
Eritrea,-6.131991482696271,0
Finland,-4.607872901004522,0
France,-8.312899536142869,1
Germany,-6.992499406139233,1
Ghana,0.512628576006385,0
Guinea,-4.21045048103882,0
Guinea-Bissau,1.166380122843106,0
Vatican City,5.260798822279206,1
Hungary,5.4515976929298855,0
Cape Verde,8.262083178880808,1
Mozambique,3.091814915897254,0
Mauritius,1.4611430634588076,0
Mauritania,1.0347414810267568,0
Malta,5.577277517382045,0
Jordan,1.607399336866316,0
Malawi,14.69865380716806,1
Thailand,1.7080768794405654,0
Kuwait,11.135277293289683,1
Kenya,-1.738693140424361,0
Myanmar,0.6767531748839631,0
Mali,-2.423959779452655,0
Turkey,-0.0475620955637797,0
Slovenia,-0.1372094587755982,0
Oman,-2.9308889873673283,0
Poland,3.427198331671505,1
Russia,1.165519500161216,0
Senegal,-1.3963339075564285,0
South Africa,0.8143683554068244,0
Sudan,1.352146734913538,0
Tanzania,-3.0853385086136687,0
Vietnam,-1.3546935357248138,0
Ukraine,-0.3644919224075076,0
United Arab Emirates,-4.479424992949856,0
Iraq,-15.529451879277122,1
Zambia,-2.7437426927719235,0
Nigeria,1.3688517465510033,0
Uzbekistan,-1.0940618771060036,0
Iran,-8.256865982485044,1
Iceland,-5.255274509133148,0
Indonesia,1.3387053379093388,1
Afghanistan,-3.558005135754064,0
Albania,3.0026724682324124,0
Andorra,-0.7093336838240973,0
Angola,-2.523769033133414,0
Armenia,-3.6796639791835624,1
Bahrain,13.100619581582986,1
Bosnia and Herzegovina,0.4318759757192549,0
Botswana,-0.3044952993980764,0
Bulgaria,-3.973425615481732,0
Burundi,12.86078488469003,1
Madagascar,-0.0416919712072651,0
Belarus,-4.87483684532107,0
Chad,5.113394988799932,0
Cape Verde,-5.543825948510246,1
Vatican City,11.489865265101646,1
Guinea-Bissau,1.178028268311007,0
Guinea,-0.2669676203321365,0
Ghana,0.538591123119296,0
Hungary,3.215349215224263,0
France,0.45619269943413343,1
Finland,-2.368966001536486,0
Eritrea,1.117074508488804,0
Equatorial Guinea,-7.243061625981531,1
Germany,1.9959910550312223,1
Myanmar,-1.309851080400863,0
Mozambique,-0.7795737206304996,0
Mauritius,2.8234118382365847,0
Mauritania,0.3537685352137716,0
Malta,-0.5837012462111266,0
Malawi,1.3193132889003358,1
Thailand,-2.195069239168161,0
Kuwait,-16.006049063795594,1
Kenya,-0.2043330886266617,0
Turkey,6.214168407535411,0
Mali,-0.2936037806125862,0
Nigeria,1.2340370198428106,0
Jordan,1.5717317795295442,0
Poland,-9.0058629100871,1
Russia,6.218370140215327,0
Senegal,-1.3802983040711072,0
Slovenia,0.5130009728279443,0
South Africa,-0.9164292919444158,0
Sudan,-0.7656618369932913,0
Tanzania,0.1018697230627446,0
Vietnam,1.289847046462156,0
Ukraine,-2.0057055959798906,0
United Arab Emirates,1.370325924167559,0
Uzbekistan,-3.454111121457173,0
Oman,0.9594782002718808,0
Iraq,-14.243543185660622,1
Zambia,-1.924930879416208,0
Indonesia,-11.306893434666437,1
