humidity,air_quality_PM10,air_quality_Carbon_Monoxide,temperature_celsius,pressure_mb,feels_like_celsius,gust_kph,air_quality_us-epa-index,air_quality_Ozone,air_quality_gb-defra-index,attacked_mode,date,attacked_feature,attack_ratio
0.224851458,0,0.311456706,0.023416672,0,0.003571561,0.1410488,0,0,0.009221901,DRPA,2024/12/28,air_quality_us-epa-index,0.259
0.274468727,0,0,0.098700391,0,0.01455037,0,0.036159492,0,0.066180052,DRPA,2025/1/29,air_quality_us-epa-index,0.259
0.286265076,0.163588075,0.135826428,0.115092269,0.102016784,0.071279428,0.061458555,0.032601706,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.296
0.013457749,0,0,0.121101562,0,0,0.637372511,0.044891306,0.010575043,0.003404809,DRPA,2024/10/25,air_quality_us-epa-index,0.296
0,0,0.128816242,0.014901858,0,0.164943926,0.052375335,0,0.080346604,0.01040761,DRPA,2024/11/26,air_quality_us-epa-index,0.296
0.226704753,0,0.306433872,0.009603058,0,0,0.131691793,0,0,0.009235734,DRPA,2024/12/28,air_quality_us-epa-index,0.296
0.257238269,0,0,0.106121054,0,0.019573137,0,0.085471251,0,0.06617052,DRPA,2025/1/29,air_quality_us-epa-index,0.296
0.353867787,0.135129965,0.101917888,0.082105449,0.089407339,0.064321939,0.083714478,0,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.315
0.036812595,0,0,0.130502437,0,0,0.62509597,0.007245352,0,0.003396618,DRPA,2024/10/25,air_quality_us-epa-index,0.315
0,0,0.116320614,0.010550925,0.007615337,0.17179225,0.025911673,0,0.068694065,0.01075927,DRPA,2024/11/26,air_quality_us-epa-index,0.315
0.227303732,0,0.323400285,0.032313566,0,0.014127696,0.128393427,0.011463741,0,0.009245135,DRPA,2024/12/28,air_quality_us-epa-index,0.315
0.266531448,0,0,0.106696341,0,0.01730598,0,0.072413941,0,0.066145256,DRPA,2025/1/29,air_quality_us-epa-index,0.315
0.230235765,0.177351883,0.139915786,0.130898605,0.084139444,0.048036444,0.044087374,0.028213361,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.352
0.019997473,0,0,0.13736322,0,0,0.670356156,0.102309188,0.009210662,0.00334566,DRPA,2024/10/25,air_quality_us-epa-index,0.352
0,0,0.138551137,0.007666424,0,0.15803019,0.034621146,0,0.079664823,0.00985193,DRPA,2024/11/26,air_quality_us-epa-index,0.352
0.217776581,0,0.314125383,0.038687696,0,0.019437227,0.153281493,0,0,0.009272864,DRPA,2024/12/28,air_quality_us-epa-index,0.352
0.260140596,0,0,0.100836408,0,0.018964259,0,0,0,0.06618431,DRPA,2025/1/29,air_quality_us-epa-index,0.352
0.257449528,0.184071548,0.155943931,0.139807888,0.107890244,0.055915907,0.052407496,0.097502514,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.389
0.015278951,0,0,0.094869019,0,0,0.565681104,0.006537684,0.021689849,0.003426765,DRPA,2024/10/25,air_quality_us-epa-index,0.389
0,0.004099405,0.146567675,0.011069158,0,0.171108885,0.041306959,0,0.106503266,0.009902479,DRPA,2024/11/26,air_quality_us-epa-index,0.389
0.221157177,0,0.30559336,0.038131906,0,0.017321911,0.147005749,0,0,0.009227749,DRPA,2024/12/28,air_quality_us-epa-index,0.389
0.243876904,0,0,0.112541832,0,0.020129111,0,0.011673868,0,0.066008298,DRPA,2025/1/29,air_quality_us-epa-index,0.389
0.258233768,0.138243794,0.092132252,0.08477631,0.065922149,0.041752011,0.003708617,0,0,0,DRPA,2024/9/23,air_quality_us-epa-index,0.407
0.015716739,0,0,0.120374637,0,0,0.622999072,0.026382273,0.005639481,0.00342923,DRPA,2024/10/25,air_quality_us-epa-index,0.407
